         362248 function calls (355583 primitive calls) in 127.908 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      450    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:491(_get_cached)
      386    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:523(_check_name_wrapper)
      386    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:560(_classify_pyc)
      340    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:593(_validate_timestamp_pyc)
       46    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:621(_validate_hash_pyc)
      791    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:64(_relax_case)
      386    0.001    0.000    0.040    0.000 <frozen importlib._bootstrap_external>:645(_compile_bytecode)
      450    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:696(spec_from_file_location)
     1066    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:79(_unpack_uint32)
      386    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:841(create_module)
    386/5    0.001    0.000    1.794    0.359 <frozen importlib._bootstrap_external>:844(exec_module)
     3766    0.020    0.000    0.032    0.000 <frozen importlib._bootstrap_external>:91(_path_join)
      386    0.005    0.000    0.155    0.000 <frozen importlib._bootstrap_external>:916(get_code)
       52    0.000    0.000    0.003    0.000 <frozen zipimport>:63(__init__)
        5    0.000    0.000    0.000    0.000 <string>:1(<lambda>)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 <string>:1(__create_fn__)
        1    0.000    0.000    0.000    0.000 __config__.py:3(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:81(_Feature)
       10    0.000    0.000    0.000    0.000 __future__.py:83(__init__)
       50    0.001    0.000    3.154    0.063 __init__.py:1(<module>)
        2    0.000    0.000    0.000    0.000 __init__.py:102(CFunctionType)
        2    0.000    0.000    0.000    0.000 __init__.py:107(import_lzma)
        2    0.000    0.000    0.002    0.001 __init__.py:109(import_module)
        1    0.000    0.000    0.000    0.000 __init__.py:11(DeprecatedTzFormatWarning)
        1    0.000    0.000    0.000    0.000 __init__.py:127(EmptyDataError)
        1    0.000    0.000    0.000    0.000 __init__.py:129(InvalidVersion)
        1    0.000    0.000    0.000    0.000 __init__.py:134(ParserWarning)
        1    0.000    0.000    0.000    0.000 __init__.py:135(_BaseVersion)
       14    0.000    0.000    0.000    0.000 __init__.py:142(_check_size)
        4    0.000    0.000    0.000    0.000 __init__.py:144(__lt__)
        1    0.000    0.000    0.000    0.000 __init__.py:15(IntCastingNaNError)
        1    0.000    0.000    0.000    0.000 __init__.py:154(py_object)
        1    0.000    0.000    0.000    0.000 __init__.py:163(c_short)
        1    0.000    0.000    0.000    0.000 __init__.py:164(set_testing_mode)
        1    0.000    0.000    0.000    0.000 __init__.py:167(c_ushort)
        1    0.000    0.000    0.000    0.000 __init__.py:171(c_long)
       22    0.000    0.000    0.002    0.000 __init__.py:171(flex_method_SERIES)
        1    0.000    0.000    0.000    0.000 __init__.py:175(MergeError)
        1    0.000    0.000    0.000    0.000 __init__.py:175(c_ulong)
        1    0.000    0.000    0.000    0.000 __init__.py:181(LegacyVersion)
        1    0.000    0.000    0.000    0.000 __init__.py:182(AccessorRegistrationWarning)
        1    0.000    0.000    0.000    0.000 __init__.py:188(AbstractMethodError)
        1    0.000    0.000    0.000    0.000 __init__.py:192(c_float)
        1    0.000    0.000    0.000    0.000 __init__.py:194(<dictcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:196(c_double)
        3    0.000    0.000    0.093    0.031 __init__.py:2(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:200(c_longdouble)
        1    0.000    0.000    0.000    0.000 __init__.py:21(__deprecated_private_func)
        1    0.000    0.000    0.000    0.000 __init__.py:210(c_longlong)
        1    0.000    0.000    0.000    0.000 __init__.py:211(NumbaUtilError)
        1    0.000    0.000    0.000    0.000 __init__.py:213(UTC)
        1    0.000    0.000    0.000    0.000 __init__.py:214(c_ulonglong)
        1    0.000    0.000    0.000    0.000 __init__.py:217(DuplicateLabelError)
        1    0.000    0.000    0.000    0.000 __init__.py:221(c_ubyte)
        1    0.000    0.000    0.000    0.000 __init__.py:228(c_byte)
        1    0.000    0.000    0.180    0.180 __init__.py:23(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:233(c_char)
        1    0.000    0.000    0.000    0.000 __init__.py:238(InvalidIndexError)
        1    0.000    0.000    0.000    0.000 __init__.py:238(c_char_p)
        1    0.000    0.000    0.000    0.000 __init__.py:24(NullFrequencyError)
        1    0.000    0.000    0.000    0.000 __init__.py:244(c_void_p)
        1    0.000    0.000    0.000    0.000 __init__.py:249(c_bool)
        1    0.000    0.000    0.000    0.000 __init__.py:254(c_wchar_p)
        1    0.000    0.000    0.000    0.000 __init__.py:256(<dictcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:259(c_wchar)
        1    0.000    0.000    0.000    0.000 __init__.py:26(InfinityType)
        1    0.000    0.000    0.000    0.000 __init__.py:262(_reset_cache)
        2    0.000    0.000    0.000    0.000 __init__.py:276(__getattr__)
        4    0.000    0.000    0.000    0.000 __init__.py:299(loads)
        3    0.000    0.000    1.615    0.538 __init__.py:3(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:313(_CountryTimezoneDict)
        1    0.000    0.000    0.000    0.000 __init__.py:319(CDLL)
        1    0.000    0.000    0.002    0.002 __init__.py:332(Version)
        5    0.000    0.000    0.000    0.000 __init__.py:336(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:337(_sanity_check)
        1    0.000    0.000    0.000    0.000 __init__.py:34(PerformanceWarning)
        5    0.000    0.000    0.003    0.001 __init__.py:340(__init__)
       16    0.001    0.000    0.002    0.000 __init__.py:345(namedtuple)
       17    0.000    0.000    0.000    0.000 __init__.py:346(<genexpr>)
        3    0.000    0.000    0.000    0.000 __init__.py:36(__deprecate_private_class)
        5    0.000    0.000    0.000    0.000 __init__.py:368(_FuncPtr)
        1    0.000    0.000    0.000    0.000 __init__.py:372(_CountryNameDict)
        2    0.000    0.000    0.000    0.000 __init__.py:384(__getattr__)
        2    0.000    0.000    0.000    0.000 __init__.py:391(__getitem__)
        1    0.000    0.000    0.000    0.000 __init__.py:397(PyDLL)
        1    0.000    0.000    0.000    0.000 __init__.py:398(_FixedOffset)
        1    0.000    0.000    0.000    0.000 __init__.py:40(UnsupportedFunctionCall)
        1    0.000    0.000    0.000    0.000 __init__.py:406(WinDLL)
       14    0.000    0.000    0.003    0.000 __init__.py:410(flex_arith_method_FRAME)
        1    0.000    0.000    0.000    0.000 __init__.py:415(HRESULT)
        1    0.000    0.000    0.000    0.000 __init__.py:415(dev)
       86    0.000    0.000    0.000    0.000 __init__.py:419(<genexpr>)
