         362248 function calls (355583 primitive calls) in 127.908 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 cast.py:672(infer_dtype_from)
        2    0.000    0.000    0.000    0.000 cast.py:796(infer_dtype_from_array)
        2    0.000    0.000    0.323    0.162 categorical.py:1(<module>)
        6    0.000    0.000    0.000    0.000 categorical.py:124(_cat_compare_op)
        1    0.000    0.000    0.000    0.000 categorical.py:2473(CategoricalAccessor)
        1    0.000    0.000    0.000    0.000 categorical.py:248(Categorical)
        1    0.000    0.000    0.001    0.001 category.py:1(<module>)
        1    0.000    0.000    0.000    0.000 category.py:56(CategoricalIndex)
        1    0.000    0.000    0.000    0.000 chainmap.py:1(<module>)
        1    0.000    0.000    0.000    0.000 chainmap.py:12(DeepChainMap)
        1    0.000    0.000    0.000    0.000 chebyshev.py:1(<module>)
        1    0.000    0.000    0.000    0.000 chebyshev.py:1993(Chebyshev)
        1    0.000    0.000    0.001    0.001 check.py:1(<module>)
        1    0.000    0.000    0.000    0.000 clipboards.py:1(<module>)
        1    0.000    0.000    0.000    0.000 codecs.py:260(__init__)
        6    0.000    0.000    0.010    0.002 common.py:1(<module>)
      198    0.000    0.000    0.001    0.000 common.py:100(is_bool_indexer)
      150    0.000    0.000    0.000    0.000 common.py:1141(needs_i8_conversion)
      150    0.000    0.000    0.000    0.000 common.py:116(ensure_python_int)
       64    0.000    0.000    0.000    0.000 common.py:1188(is_numeric_dtype)
      133    0.000    0.000    0.001    0.000 common.py:1230(is_float_dtype)
       66    0.000    0.000    0.000    0.000 common.py:1264(is_bool_dtype)
        8    0.000    0.000    0.000    0.000 common.py:1393(is_1d_only_ea_obj)
      318    0.000    0.000    0.000    0.000 common.py:1409(is_1d_only_ea_dtype)
      288    0.000    0.000    0.001    0.000 common.py:1420(is_extension_array_dtype)
      392    0.000    0.000    0.000    0.000 common.py:144(classes)
      392    0.000    0.000    0.000    0.000 common.py:146(<lambda>)
      128    0.000    0.000    0.000    0.000 common.py:1474(is_ea_or_datetimelike_dtype)
       64    0.000    0.000    0.000    0.000 common.py:1487(is_complex_dtype)
      314    0.000    0.000    0.000    0.000 common.py:149(classes_and_not_datetimelike)
      115    0.000    0.000    0.003    0.000 common.py:1519(_is_dtype)
      314    0.000    0.000    0.000    0.000 common.py:154(<lambda>)
      315    0.000    0.000    0.000    0.000 common.py:1543(get_dtype)
      324    0.000    0.000    0.000    0.000 common.py:155(cast_scalar_indexer)
      706    0.001    0.000    0.001    0.000 common.py:1578(_is_dtype_type)
      165    0.000    0.000    0.001    0.000 common.py:160(is_object_dtype)
       52    0.000    0.000    0.000    0.000 common.py:17(unpack_zerodim_and_defer)
        7    0.000    0.000    0.000    0.000 common.py:171(stringify_path)
      367    0.000    0.000    0.001    0.000 common.py:1718(validate_all_hashable)
      734    0.000    0.000    0.001    0.000 common.py:1737(<genexpr>)
      358    0.001    0.000    0.001    0.000 common.py:1744(pandas_dtype)
        8    0.000    0.000    0.000    0.000 common.py:182(not_none)
       24    0.000    0.000    0.000    0.000 common.py:186(<genexpr>)
      324    0.001    0.000    0.001    0.000 common.py:190(is_sparse)
       75    0.000    0.000    0.000    0.000 common.py:196(all_none)
      150    0.000    0.000    0.000    0.000 common.py:200(<genexpr>)
       64    0.000    0.000    0.001    0.000 common.py:224(asarray_tuplesafe)
       63    0.000    0.000    0.001    0.000 common.py:287(maybe_iterable_to_list)
       64    0.000    0.000    0.000    0.000 common.py:297(is_null_slice)
       52    0.000    0.000    0.000    0.000 common.py:30(wrapper)
       64    0.000    0.000    0.000    0.000 common.py:314(is_datetime64_dtype)
      136    0.000    0.000    0.000    0.000 common.py:346(apply_if_callable)
      107    0.000    0.000    0.001    0.000 common.py:347(is_datetime64tz_dtype)
       52    0.000    0.000    0.000    0.000 common.py:36(_unpack_zerodim_and_defer)
       96    0.000    0.000    0.000    0.000 common.py:388(is_timedelta64_dtype)
      113    0.000    0.000    0.001    0.000 common.py:422(is_period_dtype)
      113    0.000    0.000    0.001    0.000 common.py:458(is_interval_dtype)
      120    0.000    0.000    0.001    0.000 common.py:496(is_categorical_dtype)
       78    0.000    0.000    0.000    0.000 common.py:526(require_length_match)
      115    0.000    0.000    0.003    0.000 common.py:532(is_string_dtype)
      115    0.000    0.000    0.003    0.000 common.py:561(condition)
      113    0.000    0.000    0.003    0.000 common.py:564(is_excluded_dtype)
      452    0.000    0.000    0.002    0.000 common.py:569(<genexpr>)
        1    0.000    0.000    0.000    0.000 common.py:57(SettingWithCopyError)
       67    0.000    0.000    0.000    0.000 common.py:574(is_dtype_equal)
        1    0.000    0.000    0.000    0.000 common.py:59(IOArgs)
        1    0.000    0.000    0.000    0.000 common.py:61(SettingWithCopyWarning)
      178    0.000    0.000    0.001    0.000 common.py:673(is_integer_dtype)
       36    0.000    0.000    0.000    0.000 common.py:725(is_signed_integer_dtype)
        8    0.000    0.000    0.000    0.000 common.py:74(get_op_result_name)
        1    0.000    0.000    0.000    0.000 common.py:759(_BytesZipFile)
        1    0.000    0.000    0.000    0.000 common.py:77(IOHandles)
       36    0.000    0.000    0.000    0.000 common.py:779(is_unsigned_integer_dtype)
        1    0.000    0.000    0.000    0.000 common.py:816(_MMapWrapper)
        8    0.000    0.000    0.000    0.000 common.py:96(_maybe_match_name)
        1    0.000    0.000    0.000    0.000 compat.py:1(<module>)
        3    0.000    0.000    0.021    0.007 concat.py:1(<module>)
       12    0.000    0.000    0.000    0.000 concat.py:110(<listcomp>)
       12    0.000    0.000    0.000    0.000 concat.py:115(<setcomp>)
       24    0.000    0.000    0.000    0.000 concat.py:116(<genexpr>)
       12    0.000    0.000    0.000    0.000 concat.py:119(<setcomp>)
       28    0.000    0.000    0.000    0.000 concat.py:120(<genexpr>)
        8    0.000    0.000    0.004    0.001 concat.py:171(concatenate_managers)
        8    0.000    0.000    0.001    0.000 concat.py:192(<listcomp>)
       12    0.000    0.000    0.000    0.000 concat.py:210(<listcomp>)
       16    0.000    0.000    0.001    0.000 concat.py:239(_get_mgr_concatenation_plan)
        1    0.000    0.000    0.000    0.000 concat.py:310(_Concatenator)
        8    0.000    0.000    0.002    0.000 concat.py:315(__init__)
        1    0.000    0.000    0.000    0.000 concat.py:327(JoinUnit)
       32    0.000    0.000    0.000    0.000 concat.py:328(__init__)
        8    0.000    0.000    0.000    0.000 concat.py:339(needs_filling)
        8    0.000    0.000    0.000    0.000 concat.py:348(dtype)
        8    0.000    0.000    0.000    0.000 concat.py:358(is_valid_na_for)
        4    0.000    0.000    0.000    0.000 concat.py:370(<genexpr>)
       32    0.000    0.000    0.001    0.000 concat.py:381(is_na)
        8    0.000    0.000    0.000    0.000 concat.py:402(<listcomp>)
        8    0.000    0.000    0.000    0.000 concat.py:403(get_reindexed_values)
        4    0.000    0.000    0.001    0.000 concat.py:475(_concatenate_join_units)
        8    0.000    0.000    0.005    0.001 concat.py:481(get_result)
       12    0.000    0.000    0.000    0.000 concat.py:487(<genexpr>)
        4    0.000    0.000    0.000    0.000 concat.py:490(<listcomp>)
       12    0.000    0.000    0.000    0.000 concat.py:507(<genexpr>)
        4    0.000    0.000    0.000    0.000 concat.py:528(_dtype_to_na_value)
        8    0.000    0.000    0.000    0.000 concat.py:541(_get_result_dim)
        8    0.000    0.000    0.001    0.000 concat.py:547(_get_new_axes)
        8    0.000    0.000    0.001    0.000 concat.py:549(<listcomp>)
        4    0.000    0.000    0.000    0.000 concat.py:551(_get_empty_dtype)
        8    0.000    0.000    0.001    0.000 concat.py:554(_get_comb_axis)
        8    0.000    0.000    0.000    0.000 concat.py:564(_get_concat_axis)
       12    0.000    0.000    0.000    0.000 concat.py:571(<genexpr>)
        4    0.000    0.000    0.000    0.000 concat.py:573(<listcomp>)
       16    0.000    0.000    0.002    0.000 concat.py:585(_is_uniform_join_units)
       48    0.000    0.000    0.000    0.000 concat.py:594(<genexpr>)
       42    0.000    0.000    0.000    0.000 concat.py:597(<genexpr>)
        8    0.000    0.000    0.000    0.000 concat.py:598(<listcomp>)
       24    0.000    0.000    0.000    0.000 concat.py:601(<genexpr>)
       40    0.000    0.000    0.001    0.000 concat.py:607(<genexpr>)
       36    0.000    0.000    0.000    0.000 concat.py:610(<genexpr>)
        4    0.000    0.000    0.000    0.000 concat.py:617(_is_uniform_reindex)
        8    0.000    0.000    0.000    0.000 concat.py:620(<genexpr>)
        2    0.000    0.000    0.000    0.000 concat.py:625(_trim_join_unit)
       24    0.000    0.000    0.000    0.000 concat.py:652(_combine_concat_plans)
       46    0.000    0.000    0.000    0.000 concat.py:677(_next_or_none)
       12    0.000    0.000    0.000    0.000 concat.py:78(concat_compat)
        8    0.000    0.000    0.007    0.001 concat.py:90(concat)
       24    0.000    0.000    0.000    0.000 concat.py:99(is_nonempty)
        1    0.000    0.000    0.000    0.000 config.py:1(<module>)
      794    0.001    0.000    0.006    0.000 config.py:114(_get_option)
       14    0.000    0.000    0.001    0.000 config.py:122(_set_option)
        1    0.000    0.000    0.000    0.000 config.py:191(DictWrapper)
        1    0.000    0.000    0.000    0.000 config.py:194(__init__)
        1    0.000    0.000    0.000    0.000 config.py:237(CallableDynamicDoc)
        4    0.000    0.000    0.000    0.000 config.py:238(__init__)
      787    0.001    0.000    0.007    0.000 config.py:242(__call__)
        1    0.000    0.000    0.000    0.000 config.py:392(option_context)
        7    0.000    0.000    0.000    0.000 config.py:404(__init__)
        7    0.000    0.000    0.000    0.000 config.py:412(__enter__)
        7    0.000    0.000    0.000    0.000 config.py:413(<listcomp>)
        7    0.000    0.000    0.000    0.000 config.py:418(__exit__)
       62    0.000    0.000    0.001    0.000 config.py:424(register_option)
        2    0.000    0.000    0.000    0.000 config.py:499(deprecate_option)
      808    0.000    0.000    0.000    0.000 config.py:547(_select_options)
      808    0.001    0.000    0.001    0.000 config.py:565(_get_root)
     1595    0.001    0.000    0.001    0.000 config.py:579(_get_deprecated_option)
       14    0.000    0.000    0.000    0.000 config.py:595(_get_registered_option)
      808    0.000    0.000    0.001    0.000 config.py:606(_translate_key)
      787    0.000    0.000    0.001    0.000 config.py:618(_warn_if_deprecated)
       48    0.000    0.000    0.000    0.000 config.py:707(config_prefix)
       72    0.000    0.000    0.000    0.000 config.py:737(wrap)
       62    0.000    0.000    0.001    0.000 config.py:738(inner)
        4    0.000    0.000    0.000    0.000 config.py:760(is_type_factory)
       22    0.000    0.000    0.000    0.000 config.py:774(inner)
        5    0.000    0.000    0.000    0.000 config.py:781(is_instance_factory)
       21    0.000    0.000    0.000    0.000 config.py:800(inner)
       16    0.000    0.000    0.000    0.000 config.py:807(is_one_of_factory)
       16    0.000    0.000    0.000    0.000 config.py:809(<listcomp>)
       16    0.000    0.000    0.000    0.000 config.py:810(<listcomp>)
       16    0.000    0.000    0.000    0.000 config.py:812(inner)
        4    0.000    0.000    0.000    0.000 config.py:826(is_nonnegative_int)
        1    0.000    0.000    0.000    0.000 config.py:85(OptionError)
      808    0.002    0.000    0.004    0.000 config.py:96(_get_single_key)
        1    0.000    0.000    0.001    0.001 config_init.py:1(<module>)
        1    0.000    0.000    0.000    0.000 config_init.py:324(is_terminal)
       14    0.000    0.000    0.000    0.000 config_init.py:366(_deprecate_negative_int_max_colwidth)
        1    0.000    0.000    0.000    0.000 config_init.py:696(register_plotting_backend_cb)
        1    0.000    0.000    0.000    0.000 console.py:1(<module>)
        7    0.000    0.000    0.000    0.000 console.py:53(in_interactive_session)
        7    0.000    0.000    0.000    0.000 console.py:64(check_main)
        7    0.000    0.000    0.000    0.000 console.py:8(get_console_size)
        2    0.000    0.000    0.001    0.000 construction.py:1(<module>)
        8    0.000    0.000    0.004    0.000 construction.py:100(arrays_to_mgr)
       24    0.000    0.000    0.000    0.000 construction.py:215(mgr_to_mgr)
       16    0.000    0.000    0.004    0.000 construction.py:256(ndarray_to_mgr)
        8    0.000    0.000    0.000    0.000 construction.py:355(<listcomp>)
        8    0.000    0.000    0.000    0.000 construction.py:356(<listcomp>)
        8    0.000    0.000    0.000    0.000 construction.py:359(<listcomp>)
      651    0.001    0.000    0.003    0.000 construction.py:369(extract_array)
       16    0.000    0.000    0.000    0.000 construction.py:378(_check_values_indices_shape_match)
        2    0.000    0.000    0.006    0.003 construction.py:396(dict_to_mgr)
      435    0.000    0.000    0.000    0.000 construction.py:431(ensure_wrapped_if_datetimelike)
        2    0.000    0.000    0.000    0.000 construction.py:456(<listcomp>)
      167    0.001    0.000    0.007    0.000 construction.py:463(sanitize_array)
        6    0.000    0.000    0.002    0.000 construction.py:469(nested_data_to_arrays)
        6    0.000    0.000    0.000    0.000 construction.py:498(treat_as_nested)
       16    0.000    0.000    0.000    0.000 construction.py:513(_prep_ndarray)
        8    0.000    0.000    0.001    0.000 construction.py:560(_homogenize)
        2    0.000    0.000    0.000    0.000 construction.py:598(_extract_index)
      165    0.000    0.000    0.000    0.000 construction.py:605(_sanitize_ndim)
      165    0.000    0.000    0.000    0.000 construction.py:642(_sanitize_str_dtypes)
      165    0.000    0.000    0.000    0.000 construction.py:662(_maybe_repeat)
      104    0.000    0.000    0.001    0.000 construction.py:673(_try_cast)
       16    0.000    0.000    0.000    0.000 construction.py:688(_get_axes)
        6    0.000    0.000    0.002    0.000 construction.py:738(to_arrays)
      153    0.000    0.000    0.000    0.000 construction.py:780(is_empty_data)
       10    0.000    0.000    0.003    0.000 construction.py:800(create_series_with_explicit_dtype)
        6    0.000    0.000    0.000    0.000 construction.py:811(_list_to_arrays)
        6    0.000    0.000    0.001    0.000 construction.py:895(_finalize_columns_and_data)
        6    0.000    0.000    0.000    0.000 construction.py:917(_validate_or_indexify_columns)
        6    0.000    0.000    0.001    0.000 construction.py:975(_convert_object_array)
       30    0.000    0.000    0.001    0.000 construction.py:991(convert)
        6    0.000    0.000    0.001    0.000 construction.py:997(<listcomp>)
       31    0.000    0.000    0.000    0.000 contextlib.py:114(__enter__)
       31    0.000    0.000    0.000    0.000 contextlib.py:123(__exit__)
       19    0.000    0.000    0.000    0.000 contextlib.py:234(contextmanager)
       31    0.000    0.000    0.000    0.000 contextlib.py:261(helper)
        1    0.000    0.000    0.000    0.000 contextlib.py:317(__init__)
        1    0.000    0.000    0.000    0.000 contextlib.py:319(__enter__)
        1    0.000    0.000    0.000    0.000 contextlib.py:321(__exit__)
       66    0.000    0.000    0.000    0.000 contextlib.py:376(__init__)
       66    0.000    0.000    0.000    0.000 contextlib.py:379(__enter__)
       66    0.000    0.000    0.000    0.000 contextlib.py:382(__exit__)
        4    0.000    0.000    0.000    0.000 contextlib.py:402(_create_cb_wrapper)
        4    0.000    0.000    0.000    0.000 contextlib.py:404(_exit_wrapper)
        1    0.000    0.000    0.000    0.000 contextlib.py:408(__init__)
        4    0.000    0.000    0.000    0.000 contextlib.py:452(callback)
        4    0.000    0.000    0.000    0.000 contextlib.py:470(_push_exit_callback)
        1    0.000    0.000    0.000    0.000 contextlib.py:486(__enter__)
        1    0.000    0.000    0.000    0.000 contextlib.py:489(__exit__)
        1    0.000    0.000    0.000    0.000 contextlib.py:63(_recreate_cm)
        1    0.000    0.000    0.000    0.000 contextlib.py:75(__call__)
        1    0.000    0.000    0.000    0.000 contextlib.py:76(inner)
       31    0.000    0.000    0.000    0.000 contextlib.py:86(__init__)
        1    0.000    0.000    0.000    0.000 contexts.py:1(<module>)
        1    0.000    0.000    0.000    0.000 contexts.py:212(RNGContext)
        1    0.000    0.000    0.000    0.000 copy.py:66(copy)
        2    0.000    0.000    0.000    0.000 copyreg.py:12(pickle)
        1    0.000    0.000    0.000    0.000 copyreg.py:22(constructor)
        1    0.000    0.000    0.002    0.002 core.py:1(<module>)
        1    0.000    0.000    0.000    0.000 core.py:1120(_DomainedBinaryOperation)
        6    0.000    0.000    0.000    0.000 core.py:1141(__init__)
       14    0.000    0.000    0.001    0.000 core.py:116(doc_note)
        1    0.000    0.000    0.000    0.000 core.py:1278(_replace_dtype_fields_recursive)
        1    0.000    0.000    0.000    0.000 core.py:1310(_replace_dtype_fields)
       44    0.000    0.000    0.000    0.000 core.py:132(get_object_signature)
        1    0.000    0.000    0.000    0.000 core.py:1324(make_mask_descr)
        3    0.000    0.000    0.000    0.000 core.py:1357(getmask)
        1    0.000    0.000    0.000    0.000 core.py:149(MAError)
        1    0.000    0.000    0.000    0.000 core.py:157(MaskError)
        1    0.000    0.000    0.000    0.000 core.py:191(<listcomp>)
        1    0.000    0.000    0.000    0.000 core.py:192(<listcomp>)
        1    0.000    0.000    0.000    0.000 core.py:195(<listcomp>)
        1    0.000    0.000    0.000    0.000 core.py:196(<listcomp>)
        1    0.000    0.000    0.000    0.000 core.py:2381(_MaskedPrintOption)
        1    0.000    0.000    0.000    0.000 core.py:2387(__init__)
        7    0.000    0.000    0.000    0.000 core.py:2553(_arraymethod)
        1    0.000    0.000    0.000    0.000 core.py:2598(MaskedIterator)
        1    0.000    0.000    0.000    0.000 core.py:2706(MaskedArray)
        1    0.000    0.000    0.000    0.000 core.py:2817(__new__)
        2    0.000    0.000    0.000    0.000 core.py:2948(_update_from)
        2    0.000    0.000    0.000    0.000 core.py:2974(__array_finalize__)
        1    0.000    0.000    0.000    0.000 core.py:3123(view)
        4    0.000    0.000    0.000    0.000 core.py:3405(dtype)
        2    0.000    0.000    0.000    0.000 core.py:3421(shape)
        1    0.000    0.000    0.000    0.000 core.py:6234(mvoid)
        1    0.000    0.000    0.000    0.000 core.py:6429(MaskedConstant)
        4    0.000    0.000    0.000    0.000 core.py:6433(__has_singleton)
        1    0.000    0.000    0.000    0.000 core.py:6439(__new__)
        1    0.000    0.000    0.000    0.000 core.py:6457(__array_finalize__)
        2    0.000    0.000    0.000    0.000 core.py:6532(__setattr__)
        1    0.000    0.000    0.000    0.000 core.py:6624(_extrema_operation)
        2    0.000    0.000    0.000    0.000 core.py:6633(__init__)
        1    0.000    0.000    0.000    0.000 core.py:6739(_frommethod)
       26    0.000    0.000    0.000    0.000 core.py:6750(__init__)
       26    0.000    0.000    0.000    0.000 core.py:6755(getdoc)
        1    0.000    0.000    0.000    0.000 core.py:792(_DomainCheckInterval)
        3    0.000    0.000    0.000    0.000 core.py:801(__init__)
        1    0.000    0.000    0.000    0.000 core.py:8085(_convert2ma)
        8    0.000    0.000    0.000    0.000 core.py:8098(__init__)
        8    0.000    0.000    0.000    0.000 core.py:8103(getdoc)
        1    0.000    0.000    0.000    0.000 core.py:817(_DomainTan)
        1    0.000    0.000    0.000    0.000 core.py:825(__init__)
        1    0.000    0.000    0.000    0.000 core.py:835(_DomainSafeDivide)
        6    0.000    0.000    0.000    0.000 core.py:841(__init__)
        1    0.000    0.000    0.000    0.000 core.py:85(MaskedArrayFutureWarning)
        1    0.000    0.000    0.000    0.000 core.py:856(_DomainGreater)
        3    0.000    0.000    0.000    0.000 core.py:862(__init__)
        1    0.000    0.000    0.000    0.000 core.py:872(_DomainGreaterEqual)
        2    0.000    0.000    0.000    0.000 core.py:878(__init__)
        1    0.000    0.000    0.000    0.000 core.py:888(_MaskedUFunc)
       52    0.000    0.000    0.000    0.000 core.py:889(__init__)
        1    0.000    0.000    0.000    0.000 core.py:898(_MaskedUnaryOperation)
       26    0.000    0.000    0.000    0.000 core.py:916(__init__)
        1    0.000    0.000    0.000    0.000 core.py:972(_MaskedBinaryOperation)
       18    0.000    0.000    0.000    0.000 core.py:992(__init__)
        1    0.000    0.000    0.000    0.000 cp1252.py:22(decode)
        1    0.000    0.000    0.000    0.000 css.py:1(<module>)
        1    0.000    0.000    0.000    0.000 css.py:10(CSSWarning)
        5    0.000    0.000    0.000    0.000 css.py:16(_side_expander)
        1    0.000    0.000    0.000    0.000 css.py:30(CSSResolver)
        1    0.000    0.000    0.000    0.000 csv.py:130(DictWriter)
        1    0.000    0.000    0.000    0.000 csv.py:165(Sniffer)
        1    0.000    0.000    0.000    0.000 csv.py:2(<module>)
        1    0.000    0.000    0.000    0.000 csv.py:23(Dialect)
        1    0.000    0.000    0.000    0.000 csv.py:54(excel)
        1    0.000    0.000    0.000    0.000 csv.py:64(excel_tab)
        1    0.000    0.000    0.000    0.000 csv.py:69(unix_dialect)
        1    0.000    0.000    0.000    0.000 csv.py:80(DictReader)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:174(_ndptr)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:195(_concrete_ndptr)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:354(_get_scalar_type_map)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:365(<dictcomp>)
        2    0.000    0.000    0.001    0.000 dataclasses.py:1012(wrap)
        6    0.000    0.000    0.000    0.000 dataclasses.py:1047(is_dataclass)
       10    0.000    0.000    0.000    0.000 dataclasses.py:244(__init__)
        1    0.000    0.000    0.000    0.000 dataclasses.py:281(__set_name__)
        2    0.000    0.000    0.000    0.000 dataclasses.py:300(__init__)
       10    0.000    0.000    0.000    0.000 dataclasses.py:322(field)
        4    0.000    0.000    0.000    0.000 dataclasses.py:344(_tuple_str)
        4    0.000    0.000    0.000    0.000 dataclasses.py:353(<listcomp>)
        2    0.000    0.000    0.000    0.000 dataclasses.py:358(_recursive_repr)
        6    0.000    0.000    0.001    0.000 dataclasses.py:377(_create_fn)
       24    0.000    0.000    0.000    0.000 dataclasses.py:391(<genexpr>)
       10    0.000    0.000    0.000    0.000 dataclasses.py:404(_field_assign)
       10    0.000    0.000    0.000    0.000 dataclasses.py:416(_field_init)
       10    0.000    0.000    0.000    0.000 dataclasses.py:470(_init_param)
        2    0.000    0.000    0.000    0.000 dataclasses.py:489(_init_fn)
        2    0.000    0.000    0.000    0.000 dataclasses.py:507(<dictcomp>)
        2    0.000    0.000    0.000    0.000 dataclasses.py:532(<listcomp>)
        2    0.000    0.000    0.000    0.000 dataclasses.py:539(_repr_fn)
        2    0.000    0.000    0.000    0.000 dataclasses.py:543(<listcomp>)
        2    0.000    0.000    0.000    0.000 dataclasses.py:575(_cmp_fn)
       20    0.000    0.000    0.000    0.000 dataclasses.py:597(_is_classvar)
       20    0.000    0.000    0.000    0.000 dataclasses.py:605(_is_initvar)
       20    0.000    0.000    0.000    0.000 dataclasses.py:612(_is_type)
       10    0.000    0.000    0.000    0.000 dataclasses.py:671(_get_field)
        6    0.000    0.000    0.000    0.000 dataclasses.py:753(_set_new_attribute)
        2    0.000    0.000    0.000    0.000 dataclasses.py:767(_hash_set_none)
        2    0.000    0.000    0.001    0.000 dataclasses.py:809(_process_class)
        2    0.000    0.000    0.000    0.000 dataclasses.py:863(<listcomp>)
        2    0.000    0.000    0.000    0.000 dataclasses.py:924(<listcomp>)
        2    0.000    0.000    0.000    0.000 dataclasses.py:940(<listcomp>)
        2    0.000    0.000    0.000    0.000 dataclasses.py:943(<listcomp>)
        2    0.000    0.000    0.000    0.000 dataclasses.py:949(<listcomp>)
        2    0.000    0.000    0.001    0.000 dataclasses.py:998(dataclass)
        1    0.000    0.000    0.000    0.000 date_converters.py:1(<module>)
        1    0.000    0.000    0.000    0.000 dates.py:1(<module>)
        1    0.000    0.000    0.001    0.001 datetime.py:1(<module>)
        1    0.000    0.000    0.000    0.000 datetime.py:1145(tzinfo)
        1    0.000    0.000    0.000    0.000 datetime.py:1214(IsoCalendarDate)
        1    0.000    0.000    0.000    0.000 datetime.py:1245(time)
        2    0.000    0.000    0.000    0.000 datetime.py:1270(__new__)
        1    0.000    0.000    0.000    0.000 datetime.py:1594(datetime)
        3    0.000    0.000    0.000    0.000 datetime.py:1602(__new__)
        1    0.000    0.000    0.000    0.000 datetime.py:2216(timezone)
        3    0.000    0.000    0.000    0.000 datetime.py:2236(_create)
       35    0.000    0.000    0.000    0.000 datetime.py:383(_check_int_field)
        5    0.000    0.000    0.000    0.000 datetime.py:415(_check_date_fields)
        5    0.000    0.000    0.000    0.000 datetime.py:428(_check_time_fields)
        5    0.000    0.000    0.000    0.000 datetime.py:445(_check_tzinfo_arg)
        3    0.000    0.000    0.000    0.000 datetime.py:45(_days_before_year)
        1    0.000    0.000    0.000    0.000 datetime.py:473(timedelta)
       12    0.000    0.000    0.000    0.000 datetime.py:492(__new__)
        5    0.000    0.000    0.000    0.000 datetime.py:50(_days_in_month)
        2    0.000    0.000    0.000    0.000 datetime.py:665(__neg__)
        1    0.000    0.000    0.000    0.000 datetime.py:793(date)
        2    0.000    0.000    0.000    0.000 datetime.py:823(__new__)
        2    0.000    0.000    0.005    0.003 datetimelike.py:1(<module>)
        1    0.000    0.000    0.000    0.000 datetimelike.py:135(InvalidComparison)
        1    0.000    0.000    0.000    0.000 datetimelike.py:144(DatetimeLikeArrayMixin)
        1    0.000    0.000    0.000    0.000 datetimelike.py:1529(DatelikeOps)
        1    0.000    0.000    0.000    0.000 datetimelike.py:1679(TimelikeOps)
        1    0.000    0.000    0.000    0.000 datetimelike.py:607(DatetimeTimedeltaMixin)
        1    0.000    0.000    0.000    0.000 datetimelike.py:77(DatetimeIndexOpsMixin)
        3    0.000    0.000    0.013    0.004 datetimes.py:1(<module>)
        1    0.000    0.000    0.001    0.001 datetimes.py:108(DatetimeIndex)
        1    0.000    0.000    0.000    0.000 datetimes.py:110(<listcomp>)
       19    0.000    0.000    0.000    0.000 datetimes.py:113(_field_accessor)
        1    0.000    0.000    0.000    0.000 datetimes.py:151(DatetimeArray)
        1    0.000    0.000    0.178    0.178 dbapi2.py:23(<module>)
        1    0.000    0.000    0.000    0.000 dbapi2.py:50(<listcomp>)
        1    0.000    0.000    0.000    0.000 dbapi2.py:51(<listcomp>)
        1    0.000    0.000    0.000    0.000 dbapi2.py:56(register_adapters_and_converters)
        1    0.000    0.000    0.081    0.081 decimal.py:2(<module>)
        1    0.000    0.000    0.001    0.001 decoder.py:1(<module>)
        1    0.000    0.000    0.000    0.000 decoder.py:20(JSONDecodeError)
        1    0.000    0.000    0.000    0.000 decoder.py:254(JSONDecoder)
        1    0.000    0.000    0.000    0.000 decoder.py:284(__init__)
        4    0.000    0.000    0.000    0.000 decoder.py:332(decode)
        4    0.000    0.000    0.000    0.000 decoder.py:343(raw_decode)
        1    0.000    0.000    0.003    0.003 defchararray.py:1(<module>)
        1    0.000    0.000    0.000    0.000 defchararray.py:1805(chararray)
        1    0.000    0.000    0.010    0.010 defmatrix.py:1(<module>)
        1    0.000    0.000    0.000    0.000 defmatrix.py:72(matrix)
        1    0.000    0.000    0.021    0.021 describe.py:1(<module>)
        1    0.000    0.000    0.000    0.000 describe.py:125(SeriesDescriber)
        1    0.000    0.000    0.000    0.000 describe.py:138(DataFrameDescriber)
        1    0.000    0.000    0.000    0.000 describe.py:99(NDFrameDescriberAbstract)
        1    0.000    0.000    0.000    0.000 dispatch.py:1(<module>)
        1    0.000    0.000    0.000    0.000 display.py:1(<module>)
        1    0.000    0.000    0.000    0.000 display.py:17(detect_console_encoding)
        1    0.000    0.000    0.000    0.000 doc.py:1(<module>)
      153    0.000    0.000    0.000    0.000 doc.py:9(create_section_header)
        1    0.000    0.000    0.000    0.000 docstrings.py:1(<module>)
       36    0.000    0.000    0.000    0.000 docstrings.py:7(make_flex_doc)
        1    0.000    0.000    0.000    0.000 dtype.py:1(<module>)
        1    0.000    0.000    0.000    0.000 dtype.py:41(SparseDtype)
        1    0.000    0.000    0.002    0.002 dtypes.py:1(<module>)
        1    0.000    0.000    0.000    0.000 dtypes.py:1012(IntervalDtype)
        1    0.000    0.000    0.000    0.000 dtypes.py:111(CategoricalDtypeType)
       17    0.000    0.000    0.000    0.000 dtypes.py:1139(construct_from_string)
        1    0.000    0.000    0.000    0.000 dtypes.py:119(CategoricalDtype)
      113    0.000    0.000    0.000    0.000 dtypes.py:1201(is_dtype)
        1    0.000    0.000    0.000    0.000 dtypes.py:1267(PandasDtype)
